ra,dec,koi_prad,koi_depth,koi_period,koi_teq,koi_steff,koi_slogg,koi_srad,koi_smass,mission
205.1596569,-11.1172332,2.88,,2.060438,,4823.0,4.674,0.732,0.923,k2
188.3864277,-10.1462141,10.55,,5.7214742,672.5,4425.0,4.633,0.67,,k2
135.0194934,13.2737056,11.3,3.912,20.35919,,,,0.55,,k2
240.9764776,-26.5537396,12.81,0.3511,,,,,1.947,,k2
67.4128615,22.8825674,3.0,,17.30713,470.0,4500.0,4.68,0.677,0.742,k2
205.4445125,-10.8625468,1.12,,15.2841,,,,,0.95,k2
336.5761233,-18.011665,2.34,0.0203,9.9785275,,5908.0,3.88,1.499,1.02,k2
287.4125267,-19.6269336,2.38,0.0789,21.7,,,,0.811,,k2
130.082542,18.6929046,2.11,0.1237,19.508,,,,0.576,,k2
130.4971951,19.9166357,3.18,0.0802,36.5563,,,,1.1,,k2
130.2596625,14.6902225,1.31284773,,10.616646,,5722.0,4.58,0.914349,0.976219,k2
59.8903081,21.2985263,,,15.6748,923.0,5775.0,4.25,1.25,0.84,k2
336.5761233,-18.011665,2.13,0.0275,9.975403,,6063.0,,1.18,,k2
124.7453571,14.156803,1.8527,,6.2043,,,,,,k2
207.3497402,-12.2849182,,0.126,13.85870316,,4936.0,4.64236,0.71181,0.811,k2
174.9602543,0.603596,7.74,,7.9194,,5430.0,4.63,0.86,0.93,k2
238.8197061,-21.0269691,,0.05,23.4302,,5568.0,4.38144,1.05771,0.982,k2
201.2040701,-14.6943019,1.638,,3.746332,,4395.0,4.615,0.726,0.795,k2
12.7700071,9.5167694,2.62,0.0537,13.68275,,,,1.056,,k2
137.1444253,14.6307827,23.8036385,,37.246869,,5445.0,4.05,1.475643,,k2
124.4925984,15.9879159,7.01829,0.1757,2.5840753,1834.0,6119.0,4.2,1.4,,k2
169.4490102,3.8665038,2.65,,5.34072,,4953.0,4.598,0.75,0.81,k2
172.3353708,-1.4551364,1.51,,44.55983,282.0,3896.0,4.72,0.56,0.6,k2
130.7988719,13.0094226,,0.0809,9.844,,5500.23,4.4581,0.957455,0.96,k2
351.7717763,-1.2853435,2.022,,6.20147,681.0,4305.0,,0.602,0.606,k2
136.4894259,16.3255146,,,5.1138428,,6890.0,4.274,1.409,,k2
59.8903081,21.2985263,1.22263837,,5.351403,,5741.0,4.36,0.922706,0.876863,k2
134.2021746,21.5026882,2.3,0.2124,7.676984,,3790.0,4.79,0.465,,k2
174.9602543,0.603596,4.86,,11.90715,745.0,5430.0,4.63,0.86,0.93,k2
288.0267612,-21.0075789,2.0,,16.034656,,4473.0,4.653,0.675,0.754,k2
161.7349738,1.9367044,5.098,,18.787839,,5946.0,4.227,1.239,0.945,k2
240.0333095,-23.1894196,1.96,0.02607,4.01663,,,,1.241,,k2
136.1570235,19.7144139,2.64,0.158,10.55532,,,,0.623,,k2
351.7717763,-1.2853435,2.022,,6.2014698,,4340.0,4.66,0.602,0.606,k2
8.7401487,4.3807215,,,8.509,776.0,5261.0,4.47,0.872,0.866,k2
186.4860415,-1.4047214,2.332,,16.141132,804.0,5868.0,,0.999,0.97,k2
169.4490102,3.8665038,1.46748911,,1.422619,,4944.0,4.7,0.745987,0.800265,k2
238.8197061,-21.0269691,1.46,0.0158,7.8392,,,,1.115,,k2
128.0670932,11.6307099,12.03,2.846,3.1149085,,,,0.718,,k2
174.9602543,0.603596,6.751484,,7.919493,,5391.0,4.6,0.833805,0.895163,k2
154.2501533,6.8664785,3.05,,3.577394,,4626.0,4.573,0.799,0.87,k2
8.7401487,4.3807215,,,,,,,,,k2
172.3353708,-1.4551364,1.56,,24.64745,374.0,3951.0,,0.52,0.53,k2
